,A,AErr,w,wErr,phi,phiErr,z,zErr,chi2
20-25,-1.7511122891276378,0.01113617920180208,1.2420701619519208,0.011443655166580267,-3.2500052610737096,0.2631848400644388,2.543494161635787,0.009995573168787457,23.022315854236336
25-30,-1.7115337733119536,0.010678785207337562,1.2714476154054841,0.007260171955081436,-4.076509166812083,0.19923313390477518,2.5946767080073303,0.009440229165908209,6.766231307942611
30-35,-1.7035128673292355,0.015001143616696666,1.2913659617571418,0.01156484840941673,-4.865954561835175,0.3694772977382696,2.6422427137756412,0.014233133444918172,20.69683598071127
35-40,-1.6881263581597252,0.007934633761204521,1.3037004013921267,0.009651889690397503,-5.106982413553495,0.3613475998781317,2.6140622587259212,0.007647522840665034,6.4439761612128015
40-45,-1.687661278930007,0.010700341197898276,1.3357116439561152,0.0060425704620700686,-6.375275848760289,0.25378829328828906,2.6857086983843073,0.008884723342304645,8.194885728094082
45-50,-1.687362840540945,0.012214140816811133,1.2366408689652333,0.010637104639785289,-1.8376134330211795,0.5070495921932565,2.6920272706542128,0.011319555346892392,19.040162875859615
50-55,-1.737434745891977,0.015335877072335464,1.2890386735959607,0.011461091447000051,-4.282177656660067,0.6112199594897779,2.7086012838808964,0.014667453618148361,23.445893390548072
55-60,-1.7684479816274685,0.013066243160936401,1.2960366191907997,0.0065992463790672095,-4.705791776162053,0.3783863545373183,2.68551802975281,0.011393125785012908,19.765378124316243
60-65,-1.785546600209602,0.013842330157248842,1.2671524198928097,0.01144726786652777,-2.9095171785791947,0.720664600731472,2.62196403679708,0.01288051405997761,16.560986949630767
65-70,-1.7987411921812346,0.021211859119666793,1.25721385838187,0.021124532238810723,-2.216554238022315,1.4274163041384191,2.598238437974434,0.024046807038173523,31.702070146429524
70-75,-1.853498280506974,0.01608316396817451,1.244948977635949,0.008870805159409115,-1.3285534236448775,0.6447744820384312,2.551938817201401,0.013978806894649793,18.196295314631243
